Start garasi
-7.047990, 110.439616
-7.048275, 110.439661
-7.048420, 110.440084
-7.048956, 110.439979
-7.049262, 110.439688
-7.049501, 110.439638 #keluar garasi jalan ke fsm elektro(maksudnya jalan keluar dari garasi samhwa bagian luar)
-7.049537, 110.439801
-7.049416, 110.440008
-7.049197, 110.440083
-7.048921, 110.440173
-7.048773, 110.440218
-7.048479, 110.440323
-7.048082, 110.440456
-7.047680, 110.440589 # setelah ini biasanya langsung ke feb, tapi terkadang ke psikologi juga
-7.047554, 110.440252 #jika ke psikologi
-7.047416, 110.439798
-7.047313, 110.439438
-7.047236, 110.439295
-7.047209, 110.439005
-7.047138, 110.438758 #deket halte psikologi
-7.047011, 110.438402
-7.046935, 110.437977
-7.046884, 110.437949
-7.046820, 110.438010
-7.046844, 110.438262
-7.046923, 110.438514
-7.047027, 110.438802
-7.047121, 110.439112
-7.047196, 110.439237
-7.047352, 110.439603
-7.047467, 110.440028
-7.047599, 110.440483
-7.047723, 110.440891
-7.047869, 110.441354
-7.048020, 110.441893
-7.048174, 110.442409
-7.048304, 110.442661
-7.048524, 110.442680
-7.048850, 110.442562
-7.049068, 110.442492 #ini rute lewat psikolog masuk lagi ke kampus lewat jalan sama dekat feb, dan sekarang di dekat halte fkm
-7.049456, 110.442373
-7.049827, 110.442276
-7.050339, 110.442128
-7.050717, 110.442012
-7.051123, 110.441900
-7.051318, 110.441835
-7.051588, 110.441746
-7.051838, 110.441672
-7.052132, 110.441588
-7.052409, 110.441510
-7.052698, 110.441418
-7.052936, 110.441332
-7.053205, 110.441244
-7.053459, 110.441144
-7.053641, 110.441007
-7.053806, 110.440717
-7.053770, 110.440238
-7.053712, 110.439934
-7.053682, 110.439727
-7.053921, 110.439674
-7.054425, 110.439606
-7.054873, 110.439524
-7.055434, 110.439426
-7.055839, 110.439361
-7.056004, 110.439339
-7.055995, 110.439458 #penurunan penumpang spot setelah keluar gerbang bunderan undip
-7.056085, 110.439703
-7.056142, 110.440057
-7.056130, 110.440399
-7.056023, 110.440668
-7.055799, 110.441129
-7.055586, 110.441565
-7.055368, 110.442043
-7.055131, 110.442538
-7.054926, 110.442912
-7.054822, 110.443039
-7.054743, 110.443323
-7.054508, 110.443860
-7.054244, 110.444418
-7.054061, 110.444848
-7.054164, 110.444853 
-7.054256, 110.444670
-7.054419, 110.444310
-7.054518, 110.444090 
-7.054605, 110.443889 #dekat halte rusun , biasanya mangkal agak lama sesuai urutan kendaraan, dan ini halte ke 1, dari keluar garasi langsung menuju ini biasanya, titk start 
-7.054665, 110.443744
-7.054827, 110.443350
-7.054904, 110.443142
-7.054985, 110.442962
-7.055240, 110.442519
-7.055424, 110.442166
-7.055564, 110.441852
-7.055747, 110.441433
-7.055909, 110.441106
-7.056117, 110.440654
-7.056249, 110.440253
-7.056232, 110.440002
-7.056211, 110.439896
-7.056134, 110.439488
-7.056081, 110.439306
-7.056049, 110.439247
-7.055944, 110.439264
-7.055684, 110.439303
-7.055365, 110.439338
-7.055189, 110.439383
-7.054926, 110.439419
-7.054595, 110.439483
-7.054257, 110.439534
-7.053829, 110.439604
-7.053672, 110.439626
-7.053557, 110.439154
-7.053375, 110.438746
-7.052967, 110.438503
-7.052613, 110.438321
-7.052196, 110.438137
-7.051939, 110.438026
-7.051590, 110.437889 	
-7.051229, 110.437742
-7.050944, 110.437592
-7.050900, 110.437226
-7.050756, 110.436715
-7.050646, 110.436311
-7.050565, 110.436021
-7.050507, 110.435976
-7.050445, 110.436025
-7.050483, 110.436190
-7.050563, 110.436455
-7.050664, 110.436833
-7.050726, 110.437077
-7.050818, 110.437491
-7.050740, 110.437715
-7.050487, 110.437933
-7.050241, 110.438069
-7.050018, 110.438303
-7.049846, 110.438596
-7.049621, 110.439028
-7.049417, 110.439220
-7.049450, 110.439467
-7.049505, 110.439707
-7.049472, 110.439951
-7.049087, 110.440123
-7.048584, 110.440294 #seterusnya muter sampai jam istirahat dan jam berakhir

